# Generated by bourbaki pagemap build. Do not edit.
# book=lie-i-fr grammar=head-number pagination=continuous pdf_pages=144
pdf_page	chapter	page	confidence
1		3	interpolated
2		4	interpolated
3		5	interpolated
4		6	interpolated
5	I	7	interpolated
6	I	8	interpolated
7	I	9	interpolated
8	I	10	interpolated
9	I	11	interpolated
10	I	12	interpolated
11	I	13	head
12	I	14	interpolated
13	I	15	interpolated
14	I	16	interpolated
15	I	17	interpolated
16	I	18	head
17	I	19	interpolated
18	I	20	interpolated
19	I	21	interpolated
20	I	22	interpolated
21	I	23	interpolated
22	I	24	interpolated
23	I	25	interpolated
24	I	26	interpolated
25	I	27	interpolated
26	I	28	interpolated
27	I	29	interpolated
28	I	30	interpolated
29	I	31	interpolated
30	I	32	interpolated
31	I	33	interpolated
32	I	34	interpolated
33	I	35	interpolated
34	I	36	interpolated
35	I	37	interpolated
36	I	38	interpolated
37	I	39	interpolated
38	I	40	interpolated
39	I	41	interpolated
40	I	42	interpolated
41	I	43	interpolated
42	I	44	interpolated
43	I	45	interpolated
44	I	46	interpolated
45	I	47	interpolated
46	I	48	interpolated
47	I	49	interpolated
48	I	50	interpolated
49	I	51	interpolated
50	I	52	interpolated
51	I	53	interpolated
52	I	54	head
53	I	55	interpolated
54	I	56	interpolated
55	I	57	interpolated
56	I	58	interpolated
57	I	59	interpolated
58	I	60	interpolated
59	I	61	interpolated
60	I	62	interpolated
61	I	63	interpolated
62	I	64	interpolated
63	I	65	interpolated
64	I	66	interpolated
65	I	67	interpolated
66	I	68	interpolated
67	I	69	interpolated
68	I	70	interpolated
69	I	71	interpolated
70	I	72	interpolated
71	I	73	interpolated
72	I	74	interpolated
73	I	75	interpolated
74	I	76	interpolated
75	I	77	interpolated
76	I	78	interpolated
77	I	79	interpolated
78	I	80	interpolated
79	I	81	interpolated
80	I	82	interpolated
81	I	83	interpolated
82	I	84	interpolated
83	I	85	interpolated
84	I	86	interpolated
85	I	87	interpolated
86	I	88	interpolated
87	I	89	head
88	I	90	interpolated
89	I	91	interpolated
90	I	92	interpolated
91	I	93	interpolated
92	I	94	interpolated
93	I	95	interpolated
94	I	96	interpolated
95	I	97	interpolated
96	I	98	interpolated
97	I	99	interpolated
98	I	100	interpolated
99	I	101	interpolated
100	I	102	interpolated
101	I	103	head
102	I	104	interpolated
103	I	105	head
104	I	106	interpolated
105	I	107	head
106	I	108	interpolated
107	I	109	head
108	I	110	interpolated
109	I	111	head
110	I	112	interpolated
111	I	113	head
112	I	114	interpolated
113	I	115	head
114	I	116	interpolated
115	I	117	head
116	I	118	interpolated
117	I	119	head
118	I	120	interpolated
119	I	121	head
120	I	122	interpolated
121	I	123	head
122	I	124	interpolated
123	I	125	head
124	I	126	interpolated
125	I	127	head
126	I	128	interpolated
127	I	129	head
128	I	130	interpolated
129	I	131	head
130	I	132	interpolated
131	I	133	head
132	I	134	interpolated
133	I	135	head
134	I	137	interpolated
135	I	138	interpolated
136	I	139	interpolated
137	I	140	interpolated
138	I	141	head
139	I	142	interpolated
140	I	143	interpolated
141	I	144	interpolated
142	I	145	interpolated
143	I	146	interpolated
144	I	147	interpolated
