# Generated by bourbaki pagemap build. Do not edit.
# book=lie-iv-vi-fr grammar=head-number pagination=continuous pdf_pages=284
pdf_page	chapter	page	confidence
1		2	interpolated
2		3	interpolated
3		4	interpolated
4		5	interpolated
5		6	interpolated
6		7	interpolated
7		8	head
8	IV	9	interpolated
9	IV	10	interpolated
10	IV	11	head
11	IV	12	head
12	IV	13	head
13	IV	14	head
14	IV	15	head
15	IV	16	head
16	IV	17	head
17	IV	18	head
18	IV	19	head
19	IV	20	head
20	IV	21	head
21	IV	22	head
22	IV	23	interpolated
23	IV	24	head
24	IV	25	interpolated
25	IV	26	head
26	IV	27	interpolated
27	IV	28	head
28	IV	29	interpolated
29	IV	30	interpolated
30	IV	31	interpolated
31	IV	32	head
32	IV	33	interpolated
33	IV	34	head
34	IV	35	head
35	IV	36	head
36	IV	37	interpolated
37	IV	38	head
38	IV	39	head
39	IV	40	head
40	IV	41	head
41	IV	42	head
42	IV	43	head
43	IV	44	head
44	IV	45	head
45	IV	46	head
46	IV	47	interpolated
47	IV	48	head
48	IV	49	interpolated
49	IV	50	head
50	IV	51	head
51	IV	52	head
52	IV	53	head
53	IV	54	head
54	IV	55	interpolated
55	IV	56	head
56	V	57	interpolated
57	V	58	head
58	V	59	head
59	V	60	head
60	V	61	head
61	V	62	head
62	V	63	head
63	V	64	head
64	V	65	head
65	V	66	interpolated
66	V	67	interpolated
67	V	68	head
68	V	69	interpolated
69	V	70	head
70	V	71	interpolated
71	V	72	head
72	V	73	interpolated
73	V	74	head
74	V	75	interpolated
75	V	76	head
76	V	77	interpolated
77	V	78	interpolated
78	V	79	interpolated
79	V	80	head
80	V	81	interpolated
81	V	82	head
82	V	83	interpolated
83	V	84	head
84	V	85	interpolated
85	V	86	head
86	V	87	interpolated
87	V	88	head
88	V	89	interpolated
89	V	90	head
90	V	91	interpolated
91	V	92	head
92	V	93	interpolated
93	V	94	head
94	V	95	interpolated
95	V	96	head
96	V	97	interpolated
97	V	98	head
98	V	99	interpolated
99	V	100	interpolated
100	V	101	interpolated
101	V	102	head
102	V	103	interpolated
103	V	104	head
104	V	105	interpolated
105	V	106	head
106	V	107	interpolated
107	V	108	head
108	V	109	interpolated
109	V	110	head
110	V	111	interpolated
111	V	112	head
112	V	113	interpolated
113	V	114	head
114	V	115	interpolated
115	V	116	head
116	V	117	head
117	V	118	head
118	V	119	head
119	V	120	head
120	V	121	head
121	V	122	head
122	V	123	head
123	V	124	interpolated
124	V	125	head
125	V	126	head
126	V	127	interpolated
127	V	128	head
128	V	129	head
129	V	130	interpolated
130	V	131	head
131	V	132	head
132	V	133	head
133	V	134	head
134	V	135	interpolated
135	V	136	head
136	V	137	interpolated
137	V	138	interpolated
138	V	139	interpolated
139	V	140	head
140	V	141	interpolated
141	VI	142	interpolated
142	VI	143	interpolated
143	VI	144	head
144	VI	145	interpolated
145	VI	146	head
146	VI	147	interpolated
147	VI	148	head
148	VI	149	interpolated
149	VI	150	head
150	VI	151	interpolated
151	VI	152	head
152	VI	153	interpolated
153	VI	154	head
154	VI	155	interpolated
155	VI	156	head
156	VI	157	interpolated
157	VI	158	head
158	VI	159	interpolated
159	VI	160	head
160	VI	161	interpolated
161	VI	162	head
162	VI	163	interpolated
163	VI	164	head
164	VI	165	interpolated
165	VI	166	head
166	VI	167	interpolated
167	VI	168	head
168	VI	169	interpolated
169	VI	170	interpolated
170	VI	171	interpolated
171	VI	172	head
172	VI	173	head
173	VI	174	head
174	VI	175	head
175	VI	176	head
176	VI	177	interpolated
177	VI	178	head
178	VI	179	head
179	VI	180	head
180	VI	181	head
181	VI	182	head
182	VI	183	head
183	VI	184	head
184	VI	185	head
185	VI	186	head
186	VI	187	head
187	VI	188	interpolated
188	VI	189	interpolated
189	VI	190	head
190	VI	191	interpolated
191	VI	192	head
192	VI	193	interpolated
193	VI	194	interpolated
194	VI	195	interpolated
195	VI	196	head
196	VI	197	interpolated
197	VI	198	head
198	VI	199	interpolated
199	VI	200	head
200	VI	201	interpolated
201	VI	202	head
202	VI	203	interpolated
203	VI	204	head
204	VI	205	interpolated
205	VI	206	head
206	VI	207	interpolated
207	VI	208	head
208	VI	209	interpolated
209	VI	210	head
210	VI	211	interpolated
211	VI	212	head
212	VI	213	interpolated
213	VI	214	head
214	VI	215	interpolated
215	VI	216	head
216	VI	217	interpolated
217	VI	218	head
218	VI	219	interpolated
219	VI	220	interpolated
220	VI	221	interpolated
221	VI	222	head
222	VI	223	interpolated
223	VI	224	head
224	VI	225	interpolated
225	VI	226	head
226	VI	227	interpolated
227	VI	228	interpolated
228	VI	229	head
229	VI	230	head
230	VI	231	head
231	VI	232	head
232	VI	233	head
233	VI	234	interpolated
234	VI	235	head
235	VI	236	head
236	VI	237	head
237	VI	238	head
238	VI	239	head
239	VI	240	head
240	VI	241	interpolated
241	VI	242	head
242	VI	243	head
243	VI	244	interpolated
244	VI	245	head
245	VI	246	interpolated
246	VI	247	interpolated
247	VI	248	head
248	VI	251	interpolated
249	VI	252	interpolated
250	VI	253	interpolated
251	VI	254	interpolated
252	VI	255	interpolated
253	VI	256	interpolated
254	VI	257	interpolated
255	VI	258	interpolated
256	VI	259	interpolated
257	VI	260	interpolated
258	VI	261	interpolated
259	VI	262	head
260	VI	264	interpolated
261	VI	265	head
262	VI	266	head
263	VI	269	interpolated
264	VI	270	interpolated
265	VI	271	interpolated
266	VI	272	interpolated
267	VI	273	head
268	VI	274	interpolated
269	VI	275	interpolated
270	VI	276	interpolated
271	VI	277	interpolated
272	VI	278	interpolated
273	VI	279	interpolated
274	VI	280	interpolated
275	VI	281	interpolated
276	VI	282	interpolated
277	VI	283	interpolated
278	VI	284	interpolated
279	VI	285	interpolated
280	VI	286	head
281	VI	287	head
282	VI	288	head
283	VI	289	interpolated
284	VI	290	interpolated
