# Generated by bourbaki pagemap build. Do not edit.
# book=int-ix-fr grammar=head-number pagination=continuous pdf_pages=131
pdf_page	chapter	page	confidence
1		3	interpolated
2		4	interpolated
3		5	interpolated
4		6	interpolated
5	IX	7	interpolated
6	IX	8	head
7	IX	9	interpolated
8	IX	10	interpolated
9	IX	11	interpolated
10	IX	12	head
11	IX	13	interpolated
12	IX	14	head
13	IX	15	interpolated
14	IX	16	interpolated
15	IX	17	interpolated
16	IX	18	head
17	IX	19	interpolated
18	IX	20	head
19	IX	21	interpolated
20	IX	22	interpolated
21	IX	23	interpolated
22	IX	24	head
23	IX	25	interpolated
24	IX	26	head
25	IX	27	interpolated
26	IX	28	head
27	IX	29	interpolated
28	IX	30	head
29	IX	31	interpolated
30	IX	32	head
31	IX	33	interpolated
32	IX	34	head
33	IX	35	interpolated
34	IX	36	head
35	IX	37	interpolated
36	IX	38	head
37	IX	39	interpolated
38	IX	40	head
39	IX	41	interpolated
40	IX	42	head
41	IX	43	interpolated
42	IX	44	head
43	IX	45	interpolated
44	IX	46	head
45	IX	47	head
46	IX	48	head
47	IX	49	interpolated
48	IX	50	head
49	IX	51	head
50	IX	52	head
51	IX	53	head
52	IX	54	head
53	IX	55	interpolated
54	IX	56	head
55	IX	57	interpolated
56	IX	58	head
57	IX	59	interpolated
58	IX	60	head
59	IX	61	interpolated
60	IX	62	head
61	IX	63	interpolated
62	IX	64	head
63	IX	65	interpolated
64	IX	66	head
65	IX	67	interpolated
66	IX	68	head
67	IX	69	interpolated
68	IX	70	head
69	IX	71	interpolated
70	IX	72	interpolated
71	IX	73	interpolated
72	IX	74	head
73	IX	75	interpolated
74	IX	76	head
75	IX	77	interpolated
76	IX	78	interpolated
77	IX	79	interpolated
78	IX	80	head
79	IX	81	interpolated
80	IX	82	head
81	IX	83	interpolated
82	IX	84	head
83	IX	85	interpolated
84	IX	86	head
85	IX	87	interpolated
86	IX	88	head
87	IX	89	interpolated
88	IX	90	head
89	IX	91	interpolated
90	IX	92	head
91	IX	93	interpolated
92	IX	94	head
93	IX	95	interpolated
94	IX	96	interpolated
95	IX	97	head
96	IX	98	interpolated
97	IX	99	head
98	IX	100	interpolated
99	IX	101	head
100	IX	102	head
101	IX	103	head
102	IX	104	head
103	IX	105	interpolated
104	IX	106	head
105	IX	107	interpolated
106	IX	108	interpolated
107	IX	109	head
108	IX	110	interpolated
109	IX	111	head
110	IX	112	interpolated
111	IX	113	interpolated
112	IX	114	head
113	IX	115	head
114	IX	116	interpolated
115	IX	117	head
116	IX	118	interpolated
117	IX	119	head
118	IX	120	head
119	IX	121	head
120	IX	122	head
121	IX	123	head
122	IX	124	interpolated
123	IX	125	head
124	IX	126	interpolated
125	IX	127	interpolated
126	IX	128	interpolated
127	IX	129	interpolated
128	IX	130	interpolated
129	IX	131	interpolated
130	IX	132	interpolated
131	IX	133	head
