# Generated by bourbaki pagemap build. Do not edit.
# book=alg-x-fr grammar=head-label pagination=per-chapter prefix=A pdf_pages=222
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7	X	1	interpolated
8	X	2	label
9	X	3	label
10	X	4	label
11	X	5	label
12	X	6	label
13	X	7	label
14	X	8	label
15	X	9	label
16	X	10	label
17	X	11	label
18	X	12	label
19	X	13	label
20	X	14	label
21	X	15	label
22	X	16	label
23	X	17	label
24	X	18	label
25	X	19	label
26	X	20	label
27	X	21	label
28	X	22	label
29	X	23	label
30	X	24	label
31	X	25	label
32	X	26	label
33	X	27	label
34	X	28	label
35	X	29	label
36	X	30	label
37	X	31	label
38	X	32	label
39	X	33	label
40	X	34	label
41	X	35	label
42	X	36	label
43	X	37	label
44	X	38	label
45	X	39	label
46	X	40	label
47	X	41	label
48	X	42	label
49	X	43	label
50	X	44	label
51	X	45	label
52	X	46	label
53	X	47	label
54	X	48	label
55	X	49	label
56	X	50	label
57	X	51	label
58	X	52	label
59	X	53	label
60	X	54	label
61	X	55	label
62	X	56	label
63	X	57	label
64	X	58	label
65	X	59	interpolated
66	X	60	label
67	X	61	label
68	X	62	label
69	X	63	label
70	X	64	label
71	X	65	label
72	X	66	label
73	X	67	label
74	X	68	label
75	X	69	label
76	X	70	label
77	X	71	label
78	X	72	label
79	X	73	label
80	X	74	label
81	X	75	label
82	X	76	label
83	X	77	label
84	X	78	label
85	X	79	label
86	X	80	label
87	X	81	label
88	X	82	label
89	X	83	label
90	X	84	label
91	X	85	label
92	X	86	label
93	X	87	label
94	X	88	label
95	X	89	label
96	X	90	label
97	X	91	label
98	X	92	label
99	X	93	label
100	X	94	label
101	X	95	label
102	X	96	label
103	X	97	label
104	X	98	label
105	X	99	label
106	X	100	label
107	X	101	label
108	X	102	label
109	X	103	label
110	X	104	label
111	X	105	label
112	X	106	label
113	X	107	label
114	X	108	label
115	X	109	label
116	X	110	label
117	X	111	label
118	X	112	label
119	X	113	label
120	X	114	label
121	X	115	label
122	X	116	label
123	X	117	label
124	X	118	label
125	X	119	label
126	X	120	label
127	X	121	label
128	X	122	label
129	X	123	label
130	X	124	label
131	X	125	label
132	X	126	label
133	X	127	label
134	X	128	label
135	X	129	label
136	X	130	label
137	X	131	label
138	X	132	label
139	X	133	label
140	X	134	label
141	X	135	label
142	X	136	label
143	X	137	label
144	X	138	label
145	X	139	label
146	X	140	label
147	X	141	label
148	X	142	label
149	X	143	label
150	X	144	label
151	X	145	label
152	X	146	label
153	X	147	label
154	X	148	label
155	X	149	label
156	X	150	label
157	X	151	label
158	X	152	label
159	X	153	label
160	X	154	label
161	X	155	label
162	X	156	label
163	X	157	label
164	X	158	label
165	X	159	label
166	X	160	label
167	X	161	label
168	X	162	label
169	X	163	label
170	X	164	label
171	X	165	label
172	X	166	label
173	X	167	label
174	X	168	label
175	X	169	label
176	X	170	label
177	X	171	label
178	X	172	label
179	X	173	label
180	X	174	label
181	X	175	label
182	X	176	label
183	X	177	label
184	X	178	label
185	X	179	label
186	X	180	label
187	X	181	label
188	X	182	label
189	X	183	label
190	X	184	label
191	X	185	label
192	X	186	label
193	X	187	label
194	X	188	interpolated
195	X	189	label
196	X	190	label
197	X	191	label
198	X	192	interpolated
199	X	193	label
200	X	194	label
201	X	195	label
202	X	196	interpolated
203	X	197	label
204	X	198	label
205	X	199	label
206	X	200	label
207	X	201	label
208	X	202	label
209	X	203	label
210	X	204	label
211	X	205	label
212	X	206	label
213	X	207	label
214	X	208	interpolated
215	X	209	label
216	X	210	interpolated
217	X	211	interpolated
218	X	212	label
219	X	213	label
220	X	214	interpolated
221	X	215	label
222	X	216	label
