# Generated by bourbaki pagemap build. Do not edit.
# book=hist grammar=head-number pagination=continuous pdf_pages=299
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8			none
9		1	interpolated
10		2	head
11		3	head
12		4	head
13		5	head
14		6	head
15		7	head
16		8	head
17		9	head
18		10	head
19		11	head
20		12	head
21		13	head
22		14	head
23		15	head
24		16	head
25		17	head
26		18	head
27		19	head
28		20	head
29		21	head
30		22	head
31		23	head
32		24	head
33		25	head
34		26	head
35		27	head
36		28	head
37		29	head
38		30	head
39		31	head
40		32	head
41		33	head
42		34	head
43		35	head
44		36	head
45		37	head
46		38	head
47		39	head
48		40	head
49		41	head
50		42	head
51		43	head
52		44	head
53		45	interpolated
54		46	head
55		47	interpolated
56		48	head
57		49	head
58		50	head
59		51	head
60		52	head
61		53	head
62		54	head
63		55	head
64		57	interpolated
65		58	head
66		59	head
67		60	head
68		61	head
69		62	head
70		63	head
71		64	head
72		65	head
73		66	head
74		67	head
75		69	interpolated
76		70	head
77		71	head
78		72	head
79		73	head
80		74	head
81		75	head
82		76	head
83		77	interpolated
84		78	head
85		79	interpolated
86		80	head
87		81	head
88		82	head
89		83	head
90		85	interpolated
91		86	head
92		87	head
93		88	head
94		89	head
95		90	head
96		91	head
97		92	head
98		93	interpolated
99		94	head
100		95	head
101		96	head
102		97	head
103		98	head
104		99	head
105		100	head
106		101	head
107		102	head
108		103	head
109		104	head
110		105	head
111		106	head
112		107	head
113		108	head
114		109	head
115		110	head
116		111	head
117		112	head
118		113	head
119		114	head
120		115	head
121		117	interpolated
122		118	head
123		119	head
124		120	head
125		121	head
126		122	head
127		123	head
128		125	interpolated
129		126	head
130		127	head
131		128	head
132		129	head
133		130	head
134		131	head
135		132	head
136		133	head
137		134	head
138		135	head
139		136	head
140		137	head
141		138	head
142		139	interpolated
143		140	head
144		141	head
145		142	head
146		143	head
147		145	interpolated
148		146	head
149		147	interpolated
150		148	head
151		149	head
152		150	head
153		151	head
154		152	head
155		153	head
156		154	head
157		155	head
158		156	head
159		157	interpolated
160		158	head
161		159	interpolated
162		160	head
163		161	interpolated
164		162	head
165		163	head
166		164	head
167		165	interpolated
168		166	head
169		167	interpolated
170		168	head
171		169	head
172		170	head
173		171	head
174		172	head
175		173	head
176		174	head
177		175	head
178		176	head
179		177	head
180		178	head
181		179	head
182		180	head
183		181	head
184		182	head
185		183	head
186		184	head
187		185	head
188		186	head
189		187	head
190		188	head
191		189	head
192		190	head
193		191	head
194		192	head
195		193	head
196		194	head
197		195	head
198		196	head
199		197	head
200		198	head
201		199	interpolated
202		200	head
203		201	head
204		202	head
205		204	interpolated
206		205	interpolated
207		206	head
208		207	interpolated
209		208	head
210		209	head
211		210	head
212		211	head
213		212	head
214		213	head
215		214	head
216		215	head
217		216	head
218		217	head
219		218	head
220		219	interpolated
221		220	head
222		221	head
223		222	head
224		223	head
225		224	head
226		225	head
227		226	head
228		227	head
229		228	head
230		229	head
231		231	interpolated
232		232	head
233		233	head
234		234	head
235		235	head
236		236	head
237		237	interpolated
238		238	head
239		239	head
240		240	head
241		241	head
242		242	head
243		243	head
244		244	head
245		245	head
246		246	head
247		247	interpolated
248		248	head
249		249	head
250		250	head
251		251	head
252		252	head
253		253	head
254		254	head
255		255	head
256		256	head
257		257	head
258		258	head
259		259	head
260		260	head
261		261	head
262		262	head
263		263	head
264		264	head
265		265	head
266		266	head
267		267	head
268		269	interpolated
269		270	head
270		271	head
271		272	head
272		273	head
273		274	head
274		275	interpolated
275		276	head
276		277	head
277		278	head
278		279	head
279		280	head
280		281	head
281		282	head
282		283	head
283		284	head
284		285	head
285		286	head
286		287	head
287		288	head
288		289	head
289		290	head
290		291	head
291		292	head
292		293	head
293		294	head
294		295	head
295		297	interpolated
296		298	head
297		299	head
298		300	head
299		301	head
