# Generated by bourbaki pagemap build. Do not edit.
# book=hist-fr grammar=head-number pagination=continuous pdf_pages=374
pdf_page	chapter	page	confidence
1		3	interpolated
2		4	interpolated
3		5	interpolated
4		6	interpolated
5		7	interpolated
6		8	interpolated
7		9	interpolated
8		10	interpolated
9		11	interpolated
10		12	interpolated
11		13	interpolated
12		14	interpolated
13		15	interpolated
14		16	interpolated
15		17	interpolated
16		18	interpolated
17		19	interpolated
18		20	head
19		21	interpolated
20		22	interpolated
21		23	interpolated
22		24	interpolated
23		25	interpolated
24		26	interpolated
25		27	interpolated
26		28	interpolated
27		29	interpolated
28		30	interpolated
29		31	interpolated
30		32	interpolated
31		33	interpolated
32		34	head
33		35	interpolated
34		36	head
35		37	interpolated
36		38	interpolated
37		39	interpolated
38		40	head
39		41	interpolated
40		42	interpolated
41		43	interpolated
42		44	interpolated
43		45	interpolated
44		46	head
45		47	interpolated
46		48	interpolated
47		49	interpolated
48		50	interpolated
49		51	interpolated
50		52	head
51		53	interpolated
52		54	head
53		55	interpolated
54		56	head
55		57	interpolated
56		58	interpolated
57		59	interpolated
58		60	interpolated
59		61	interpolated
60		62	head
61		63	interpolated
62		64	interpolated
63		65	interpolated
64		66	interpolated
65		67	interpolated
66		68	head
67		69	interpolated
68		70	head
69		71	interpolated
70		72	interpolated
71		73	interpolated
72		74	interpolated
73		75	interpolated
74		76	head
75		77	interpolated
76		78	interpolated
77		79	interpolated
78		80	interpolated
79		81	interpolated
80		82	head
81		83	interpolated
82		84	head
83		85	interpolated
84		86	interpolated
85		87	interpolated
86		88	interpolated
87		89	interpolated
88		90	interpolated
89		91	interpolated
90		92	interpolated
91		93	head
92		94	interpolated
93		95	head
94		96	head
95		97	head
96		98	head
97		99	head
98		100	interpolated
99		101	head
100		102	interpolated
101		103	head
102		104	interpolated
103		105	head
104		106	interpolated
105		107	head
106		108	interpolated
107		109	head
108		110	interpolated
109		111	interpolated
110		112	interpolated
111		113	interpolated
112		114	interpolated
113		115	interpolated
114		116	head
115		117	interpolated
116		118	interpolated
117		119	head
118		120	interpolated
119		121	head
120		122	interpolated
121		123	head
122		124	head
123		125	interpolated
124		126	head
125		127	head
126		128	head
127		129	interpolated
128		130	head
129		131	head
130		132	interpolated
131		133	head
132		134	interpolated
133		135	interpolated
134		136	head
135		137	interpolated
136		138	head
137		139	head
138		140	head
139		141	interpolated
140		142	head
141		143	interpolated
142		144	head
143		145	interpolated
144		146	interpolated
145		147	interpolated
146		148	head
147		149	interpolated
148		150	interpolated
149		151	head
150		152	interpolated
151		153	interpolated
152		154	interpolated
153		155	interpolated
154		156	interpolated
155		157	interpolated
156		158	interpolated
157		159	head
158		160	interpolated
159		161	interpolated
160		162	interpolated
161		163	interpolated
162		164	head
163		165	interpolated
164		166	interpolated
165		167	interpolated
166		168	interpolated
167		169	interpolated
168		170	interpolated
169		171	interpolated
170		172	head
171		173	interpolated
172		174	interpolated
173		175	interpolated
174		176	interpolated
175		177	head
176		178	head
177		179	head
178		180	head
